METTLER TOLEDO M300/M300ISM
M300 Data Collection
Date, Time, a Value, a Units,b Value, bUnits, c Value, c Units,d Value, d Units

2022-03-08,?? 2:27:52,  4.321,   pH,  25.47, DegC, ******,   pH, ******, DegC,
2022-03-08,?? 2:27:54,  4.321,   pH,  25.46, DegC, ******,   pH, ******, DegC,
2022-03-08,?? 2:27:56,  4.321,   pH,  25.46, DegC, ******,   pH, ******, DegC,
2022-03-08,?? 2:27:58,  4.322,   pH,  25.45, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:35:41,  9.035,   pH,  20.85, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:35:51,  8.725,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:36:01,  8.518,   pH,  20.79, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:36:11,  8.684,   pH,  19.97, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:36:21,  8.722,   pH,  20.46, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:36:41,  7.545,   pH,  20.99, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:36:51,  7.163,   pH,  20.64, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:37:01,  7.131,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:37:11,  7.131,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:37:21,  7.131,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:37:31,  7.131,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:37:41,  7.131,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:37:51,  7.131,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:38:11,  7.131,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:38:21,  7.131,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:38:31,  7.131,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:38:41,  7.131,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:38:51,  7.131,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:39:01,  7.131,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:39:11,  7.131,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:39:21,  7.131,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:39:31,  7.131,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:39:41,  7.131,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:39:51,  7.131,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:40:01,  7.131,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-03-15,?? 11:40:13,  7.131,   pH,  21.32, DegC, ******,   pH, ******, DegC,
