METTLER TOLEDO M300/M300ISM
M300 Data Collection
Date, Time, a Value, a Units,b Value, bUnits, c Value, c Units,d Value, d Units 

2022-05-15,?? 15:50:39,  6.910,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:50:49,  6.910,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:50:59,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:51:09,  7.090,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:51:19,  7.170,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:51:29,  7.110,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:51:40,  7.090,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:51:50,  7.070,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:52:00,  7.010,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:52:10,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:52:20,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:52:30,  7.070,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:52:40,  6.990,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:52:51,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:53:01,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:53:11,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:53:21,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:53:31,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:53:41,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:53:51,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:54:02,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:54:12,  6.950,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:54:22,  6.970,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:54:32,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
2022-05-15,?? 15:54:42,  7.030,   pH,  21.32, DegC, ******,   pH, ******, DegC,
